match_id,date,start_datetime_utc,discipline,tournament_id,tournament,tier,round,is_qualification,host_location,team1,team2,team1_player1_id,team1_player1,team1_player1_country,team1_player2_id,team1_player2,team1_player2_country,team2_player1_id,team2_player1,team2_player1_country,team2_player2_id,team2_player2,team2_player2_country,winner,winner_team,number_of_games,game1_team1,game1_team2,game2_team1,game2_team2,game3_team1,game3_team2,score,source_endpoint
1228686,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Daniel HESS / Jones Ralfy JANSEN,Oliver LEYDON-DAVIS / Abhinav MANOTA,63389,Daniel HESS,GER,88726.0,Jones Ralfy JANSEN,GER,27624,Oliver LEYDON-DAVIS,NZL,58628.0,Abhinav MANOTA,NZL,1,Daniel HESS / Jones Ralfy JANSEN,2,21,15,21.0,16.0,,,21-15 21-16,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228691,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Muhammad Shohibul FIKRI / Bagas MAULANA,Leo Rolly CARNANDO / Daniel MARTHIN,91440,Muhammad Shohibul FIKRI,INA,79658.0,Bagas MAULANA,INA,68633,Leo Rolly CARNANDO,INA,84786.0,Daniel MARTHIN,INA,2,Leo Rolly CARNANDO / Daniel MARTHIN,3,21,15,27.0,29.0,13.0,21.0,21-15 27-29 13-21,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228692,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Aaron CHIA / SOH Wooi Yik,GOH V Shem / TAN Wee Kiong,56203,Aaron CHIA,MAS,99389.0,SOH Wooi Yik,MAS,54805,GOH V Shem,MAS,52071.0,TAN Wee Kiong,MAS,2,GOH V Shem / TAN Wee Kiong,2,7,21,19.0,21.0,,,7-21 19-21,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228700,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Marcus ELLIS / Chris LANGRIDGE,Bodin ISARA / Maneepong JONGJIT,71349,Marcus ELLIS,ENG,51624.0,Chris LANGRIDGE,ENG,75983,Bodin ISARA,THA,67172.0,Maneepong JONGJIT,THA,1,Marcus ELLIS / Chris LANGRIDGE,2,21,13,21.0,10.0,,,21-13 21-10,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228701,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Mathias CHRISTIANSEN / Niclas NOHR,Eloi ADAM / Julien MAIO,99521,Mathias CHRISTIANSEN,DEN,64188.0,Niclas NOHR,DEN,87403,Eloi ADAM,FRA,73323.0,Julien MAIO,FRA,1,Mathias CHRISTIANSEN / Niclas NOHR,3,21,18,16.0,21.0,21.0,15.0,21-18 16-21 21-15,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228703,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Fajar ALFIAN / Muhammad Rian ARDIANTO,Nipitphon PHUANGPHUAPET / Tanupat VIRIYANGKURA,88876,Fajar ALFIAN,INA,91130.0,Muhammad Rian ARDIANTO,INA,30342,Nipitphon PHUANGPHUAPET,THA,74233.0,Tanupat VIRIYANGKURA,THA,1,Fajar ALFIAN / Muhammad Rian ARDIANTO,3,17,21,21.0,16.0,22.0,20.0,17-21 21-16 22-20,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228706,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Vladimir IVANOV / Ivan SOZONOV,Ben LANE / Sean VENDY,53924,Vladimir IVANOV,RUS,67068.0,Ivan SOZONOV,RUS,76278,Ben LANE,ENG,72478.0,Sean VENDY,ENG,2,Ben LANE / Sean VENDY,3,21,17,19.0,21.0,17.0,21.0,21-17 19-21 17-21,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228710,2021-01-12,2021-01-12T00:00:00+00:00,MD,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",GOH Sze Fei / Nur IZZUDDIN,KO Sung Hyun / SHIN Baek Cheol,90768,GOH Sze Fei,MAS,94814.0,Nur IZZUDDIN,MAS,88094,KO Sung Hyun,KOR,54785.0,SHIN Baek Cheol,KOR,1,GOH Sze Fei / Nur IZZUDDIN,3,21,16,19.0,21.0,21.0,11.0,21-16 19-21 21-11,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228630,2021-01-12,2021-01-12T00:00:00+00:00,MS,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Kantaphon WANGCHAROEN,SAI PRANEETH B.,92508,Kantaphon WANGCHAROEN,THA,,,,42776,SAI PRANEETH B.,IND,,,,1,Kantaphon WANGCHAROEN,2,21,16,21.0,10.0,,,21-16 21-10,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
1228635,2021-01-12,2021-01-12T00:00:00+00:00,MS,4108,YONEX Thailand Open,HSBC BWF World Tour Super 1000,R32,False,"Bangkok, Thailand",Anthony Sinisuka GINTING,HEO Kwang Hee,95661,Anthony Sinisuka GINTING,INA,,,,68718,HEO Kwang Hee,KOR,,,,1,Anthony Sinisuka GINTING,3,21,15,11.0,21.0,21.0,16.0,21-15 11-21 21-16,https://extranet-lv.bwfbadminton.com/api/vue-tournament-matches?drawCount=0&searchKey=&tmtId=4108&tmtType=0&isPara=false
